1	2	3	4	5	6	7	8	
0	2	3	5	9	10	11	15	
0	1	4	6	9	10	12	16	
0	1	4	7	9	11	13	17	
0	2	3	8	9	12	13	18	
0	1	6	7	10	11	14	19	
0	2	5	8	10	12	14	20	
0	3	5	8	11	13	14	21	
0	4	6	7	12	13	14	22	
1	2	3	4	15	16	17	18	
1	2	5	6	15	16	19	20	
1	3	5	7	15	17	19	21	
2	4	6	8	16	18	20	22	
3	4	7	8	17	18	21	22	
5	6	7	8	19	20	21	22	
1	9	10	11	16	17	19	23	
2	9	10	12	15	18	20	23	
3	9	11	13	15	18	21	23	
4	9	12	13	16	17	22	23	
5	10	11	14	15	20	21	23	
6	10	12	14	16	19	22	23	
7	11	13	14	17	19	22	23	
8	12	13	14	18	20	21	23	
15	16	17	18	19	20	21	22
