0	1	2	
0	2	4	
0	4	3	
0	3	1	
1	3	9	
4	9	3	
2	9	4	
1	9	2	
0	1	2	
0	2	6	
0	6	5	
0	5	1	
1	5	10	
6	10	5	
2	10	6	
1	10	2	
0	1	3	
0	3	7	
0	7	5	
0	5	1	
1	5	11	
7	11	5	
3	11	7	
1	11	3	
0	2	4	
0	4	8	
0	8	6	
0	6	2	
2	6	12	
8	12	6	
4	12	8	
2	12	4	
0	3	4	
0	4	8	
0	8	7	
0	7	3	
3	7	13	
8	13	7	
4	13	8	
3	13	4	
0	5	6	
0	6	8	
0	8	7	
0	7	5	
5	7	14	
8	14	7	
6	14	8	
5	14	6	
1	2	9	
1	9	15	
1	15	10	
1	10	2	
2	10	16	
15	16	10	
9	16	15	
2	16	9	
1	3	9	
1	9	15	
1	15	11	
1	11	3	
3	11	17	
15	17	11	
9	17	15	
3	17	9	
1	5	10	
1	10	15	
1	15	11	
1	11	5	
5	11	19	
15	19	11	
10	19	15	
5	19	10	
2	4	9	
2	9	16	
2	16	12	
2	12	4	
4	12	18	
16	18	12	
9	18	16	
4	18	9	
2	6	10	
2	10	16	
2	16	12	
2	12	6	
6	12	20	
16	20	12	
10	20	16	
6	20	10	
3	4	9	
3	9	17	
3	17	13	
3	13	4	
4	13	18	
17	18	13	
9	18	17	
4	18	9	
3	7	11	
3	11	17	
3	17	13	
3	13	7	
7	13	21	
17	21	13	
11	21	17	
7	21	11	
4	8	12	
4	12	18	
4	18	13	
4	13	8	
8	13	22	
18	22	13	
12	22	18	
8	22	12	
5	6	10	
5	10	19	
5	19	14	
5	14	6	
6	14	20	
19	20	14	
10	20	19	
6	20	10	
5	7	11	
5	11	19	
5	19	14	
5	14	7	
7	14	21	
19	21	14	
11	21	19	
7	21	11	
6	8	12	
6	12	20	
6	20	14	
6	14	8	
8	14	22	
20	22	14	
12	22	20	
8	22	12	
7	8	13	
7	13	21	
7	21	14	
7	14	8	
8	14	22	
21	22	14	
13	22	21	
8	22	13	
9	15	16	
9	16	18	
9	18	17	
9	17	15	
15	17	23	
18	23	17	
16	23	18	
15	23	16	
10	15	16	
10	16	20	
10	20	19	
10	19	15	
15	19	23	
20	23	19	
16	23	20	
15	23	16	
11	15	17	
11	17	21	
11	21	19	
11	19	15	
15	19	23	
21	23	19	
17	23	21	
15	23	17	
12	16	18	
12	18	22	
12	22	20	
12	20	16	
16	20	23	
22	23	20	
18	23	22	
16	23	18	
13	17	18	
13	18	22	
13	22	21	
13	21	17	
17	21	23	
22	23	21	
18	23	22	
17	23	18	
14	19	20	
14	20	22	
14	22	21	
14	21	19	
19	21	23	
22	23	21	
20	23	22	
19	23	20
