1	2	3	4	5	6	7	8	9	10	11	12	
0	2	3	4	5	6	13	14	15	16	19	33	
0	1	3	4	7	8	13	14	17	18	20	34	
0	1	2	5	7	9	13	15	17	21	23	35	
0	1	2	6	8	10	14	16	18	22	24	36	
0	1	3	6	9	11	15	19	21	25	27	37	
0	1	4	5	10	11	16	19	22	25	28	38	
0	2	3	8	9	12	17	20	23	26	29	39	
0	2	4	7	10	12	18	20	24	26	30	40	
0	3	5	7	11	12	21	23	27	29	31	41	
0	4	6	8	11	12	22	24	28	30	32	42	
0	5	6	9	10	12	25	27	28	31	32	43	
0	7	8	9	10	11	26	29	30	31	32	44	
1	2	3	14	15	17	33	34	35	45	46	48	
1	2	4	13	16	18	33	34	36	45	47	49	
1	3	5	13	19	21	33	35	37	46	50	54	
1	4	6	14	19	22	33	36	38	47	51	55	
2	3	7	13	20	23	34	35	39	48	52	56	
2	4	8	14	20	24	34	36	40	49	53	57	
1	5	6	15	16	25	33	37	38	50	51	58	
2	7	8	17	18	26	34	39	40	52	53	61	
3	5	9	15	23	27	35	37	41	54	59	62	
4	6	10	16	24	28	36	38	42	55	60	63	
3	7	9	17	21	29	35	39	41	56	59	64	
4	8	10	18	22	30	36	40	42	57	60	65	
5	6	11	19	27	28	37	38	43	58	66	67	
7	8	12	20	29	30	39	40	44	61	68	69	
5	9	11	21	25	31	37	41	43	62	66	70	
6	10	11	22	25	32	38	42	43	63	67	71	
7	9	12	23	26	31	39	41	44	64	68	72	
8	10	12	24	26	32	40	42	44	65	69	73	
9	11	12	27	29	32	41	43	44	70	72	74	
10	11	12	28	30	31	42	43	44	71	73	74	
1	13	14	15	16	19	45	46	47	50	51	75	
2	13	14	17	18	20	45	48	49	52	53	76	
3	13	15	17	21	23	46	48	54	56	59	77	
4	14	16	18	22	24	47	49	55	57	60	78	
5	15	19	21	25	27	50	54	58	62	66	79	
6	16	19	22	25	28	51	55	58	63	67	80	
7	17	20	23	26	29	52	56	61	64	68	81	
8	18	20	24	26	30	53	57	61	65	69	82	
9	21	23	27	29	31	59	62	64	70	72	83	
10	22	24	28	30	32	60	63	65	71	73	84	
11	25	27	28	31	32	66	67	70	71	74	85	
12	26	29	30	31	32	68	69	72	73	74	86	
13	14	33	34	46	47	48	49	75	76	87	88	
13	15	33	35	45	48	50	54	75	77	87	89	
14	16	33	36	45	49	51	55	75	78	88	90	
13	17	34	35	45	46	52	56	76	77	87	91	
14	18	34	36	45	47	53	57	76	78	88	92	
15	19	33	37	46	51	54	58	75	79	89	93	
16	19	33	38	47	50	55	58	75	80	90	93	
17	20	34	39	48	53	56	61	76	81	91	94	
18	20	34	40	49	52	57	61	76	82	92	94	
15	21	35	37	46	50	59	62	77	79	89	95	
16	22	36	38	47	51	60	63	78	80	90	96	
17	23	35	39	48	52	59	64	77	81	91	97	
18	24	36	40	49	53	60	65	78	82	92	98	
19	25	37	38	50	51	66	67	79	80	93	99	
21	23	35	41	54	56	62	64	77	83	95	97	
22	24	36	42	55	57	63	65	78	84	96	98	
20	26	39	40	52	53	68	69	81	82	94	100	
21	27	37	41	54	59	66	70	79	83	95	101	
22	28	38	42	55	60	67	71	80	84	96	102	
23	29	39	41	56	59	68	72	81	83	97	103	
24	30	40	42	57	60	69	73	82	84	98	104	
25	27	37	43	58	62	67	70	79	85	99	101	
25	28	38	43	58	63	66	71	80	85	99	102	
26	29	39	44	61	64	69	72	81	86	100	103	
26	30	40	44	61	65	68	73	82	86	100	104	
27	31	41	43	62	66	72	74	83	85	101	105	
28	32	42	43	63	67	73	74	84	85	102	106	
29	31	41	44	64	68	70	74	83	86	103	105	
